date,language,type,title,by,overall,quality,repeatability
15-Nov-24,Tamil,movie,Meiyazhagan,"Arvind Swamy, Karthi",4,5,1
10-Nov-24,Tamil,movie,Vettaiyan,"Rajnikanth, Fahad Fazil",2,2,1
09-Nov-24,Tamil,movie,Amaran,"Siva Karthikeyan, Sai Pallavi",4,4,1
11-Oct-24,Telugu,movie,Kushi,"Vijay Devarakonda, Samantha",3,3,1
05-Oct-24,Tamil,movie,GOAT,Vijay,3,3,1
02-Oct-24,Telugu,movie,Sanivaaram Saripodhaa,"Nani, SJ Surya",3,3,1
01-Oct-24,Tamil,movie,Saba Nayagan,Ashok Selvan,3,3,2
30-Sep-24,English,movie,Dune: Part Two,"Timothée Chalamet, Zendaya",3,4,1
10-Sep-24,English,movie,Spencer Confidential,Mark Wahlberg,3,3,1
07-Sep-24,English,movie,Gemini Man,Will Smith,3,3,1
05-Sep-24,Tamil,movie,Arul,"Vikram, Jyothika, KS Ravikumar",3,3,2
26-Aug-24,Tamil,movie,Raayan,Dhanush,3,4,1
25-Aug-24,Hindi,movie,Lapata Ladies,,4,4,1
03-Aug-24,Spanish,movie,Non Negotiable,,3,3,1
21-Jul-24,Japanese,series,Attack on Titan,,5,5,2
13-Jul-24,Tamil,movie,Maharaja,Vijay Sethupathi,4,5,1
13-Jul-24,Tamil,movie,Vikram,"Kamal Hassan, Fahaad Fazil, Vijay Sethupathi",3,4,2
09-Jul-24,Japanese,series,One Punch Man: Season 2,,4,4,2
07-Jul-24,Japanese,series,One Punch Man: Season 1,,4,4,2
29-Jun-24,Japanese,series,Code Geass: Season 2,,4,4,1
26-Jun-24,Japanese,series,Code Geass: Season 1,,4,4,1
22-Jun-24,Telugu,movie,Ramabanam,"Gopichand, Dimple Hayathi, Jagapathi Babu",2,2,1
16-Jun-24,Telugu,movie,Padi Padi Leche Manasu,"Sharwanand, Sai Pallavi",3,3,1
15-Jun-24,Hindi,movie,Meri Brother Ki Dulhan,"Imran Khan, Katrina Kaif",2,2,2
14-Jun-24,Tamil,movie,Por Thozhil,"Sarath Kumar, Ashok Selvan",3,4,1
14-Jun-24,English,movie,Madame Webb,Dakota Johnson,3,3,1
26-May-24,Tamil,movie,Sigaram Thodu,"Vikram Prabhu, Sathyaraj",3,3,1
21-May-24,Telugu,movie,Bhale Bhale Magadivoy,"Nani, Lavanya Tripathi",3,4,2
16-May-24,Telugu,movie,Alludu Seenu,"Bellamkonda Sreenivas, Samantha, Prakash Raj",2,3,1
04-May-24,Telugu,movie,Family Star,"Vijay Devarakonda, Mrinal Thakur",3,3,2
01-May-24,Tamil,movie,Viswasam,"Ajith, Nayantara",4,4,3
12-Apr-24,Hindi,movie,Rocky Aur Rani Ki Prem Kahani,"Ranveer Singh, Alia Bhatt, Jaya Bachchan",4,4,1
10-Apr-24,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmika",4,4,2
08-Apr-24,English,movie,Fantastic Beasts: The Secrets of Dumbledore,"David Yates, Jude Law",3,4,2
07-Apr-24,Tamil,movie,Otha Seruppu,Parthiban,3,3,1
07-Apr-24,English,movie,A Brush With Christmas,,3,3,1
03-Apr-24,Telugu,movie,Kalki,Rajashekar,3,3,1
02-Apr-24,Telugu,movie,Eagle,Ravi Teja,3,3,1
05-Mar-24,Hindi,movie,Band Baaja Baarat,"Ranveer Singh, Anuksha Sharma",3,3,2
18-Feb-24,Hindi,movie,Atrangi Re,"Dhanush, Sara Ali Khan, Akshay Khanna",4,4,2
10-Feb-24,Telugu,movie,Ravanasura,"Ravi Teja, Jayaram",2,2,1
10-Feb-24,Hindi,movie,Rajneeti,"Ranbir Kapoor, Ajay Devgan, Nana Patekar",4,4,2
09-Feb-24,Telugu,movie,Guntur Karam ,"Mahesh Babu, Prakash Raj",2,3,1
07-Feb-24,Telugu,movie,Devil - The British Secret Agent,"Kalyan Ram, Samyuktha Menon",2,3,1
05-Feb-24,Tamil,movie,Kolai,Vijay Antony,2,3,1
31-Jan-24,Telugu,movie,Athidhi,"Mahesh Babu, Amrita Rao",3,3,2
28-Jan-24,Tamil,movie,Maamannan,"Mari Selvaraj, Vadivelu, Fahad Fazil, Udhayanidhi Stalin",4,4,1
28-Jan-24,Hindi,movie,Dream Girl 2,Ayushmann Khurana,3,3,1
26-Jan-24,Telugu,movie,Hi Nanna,"Nani, Mrunal Thakur",3,4,2
17-Jan-24,Hindi,movie,Satyaprem Ki Katha,"Varun Dhawan, Kiara Advani",3,3,1
15-Jan-24,Tamil,movie,Iraivan,"Jayam Ravi, Nayanthara",2,3,1
12-Jan-24,Hindi,movie,Jawan,"Shah Rukh Khan, Nayantara, Vijay Sethupathi",3,3,1
04-Jan-24,English,movie,Threat Level Midnight,Steve Carell,3,3,1
30-Dec-23,Telugu,movie,Miss Shetty and Mr Polishetty,"Anushka Shetty, Navin Polishetty",3,4,2
26-Dec-23,Tamil,movie,Manal Kayiru,"Visu, S Ve Sekhar",4,3,3
25-Dec-23,Tamil,movie,Simla Special,"Kamal Hassan, S Ve Sekhar",3,2,2
22-Dec-23,Tamil,movie,Maaveeran,"Sivakarthikeyan, Mysskin",3,4,1
21-Dec-23,Tamil,movie,Doctor,Sivakarthikeyan,3,3,2
08-Dec-23,Tamil,movie,Vedikkai En Vadikkai,"Visu, Poornam Viswanathan",3,3,2
05-Dec-23,English,movie,The Equalizer 3,Denzel Washington,3,3,1
02-Dec-23,Hindi,movie,Cirkus,"Ranveer Singh, Varun Dhawan",3,3,1
02-Dec-23,Tamil,movie,Leo,Vijay,3,4,1
09-Nov-23,Tamil,movie,Jailer,"Rajanikanth, Vinayakan",3,3,1
05-Nov-23,Telugu,movie,Skanda,Ram Pothineni,2,2,1
04-Nov-23,Tamil,movie,Don,Sivakarthikeyan,4,4,2
02-Nov-23,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3,4,2
22-Oct-23,Malayalam,movie,Pachuvum Athbutha Vilakkum,Fahad Fazil,3,4,1
08-Oct-23,English,movie,Source Code,Jake Gyllenhaal,3,3,1
02-Oct-23,Tamil,movie,Thambi,"Karthi, Jyothika",3,4,1
16-Sep-23,English,series,The Mentalist: Season 7,"Simon Baker, Robin Tunney",3,3,1
06-Sep-23,English,series,The Mentalist: Season 6,"Simon Baker, Robin Tunney",3,3,1
27-Aug-23,English,series,The Mentalist: Season 5,"Simon Baker, Robin Tunney",3,3,1
17-Aug-23,English,series,The Mentalist: Season 4,"Simon Baker, Robin Tunney",3,3,1
07-Aug-23,Tamil,movie,Jailer,"Rajanikanth, Vinayakan",3,3,1
28-Aug-23,English,series,Secret Invasion,Samuel L Jackson,3,3,1
27-Aug-23,English,movie,Passengers,"Chris Pratt, Jennifer Lawrence",3,3,1
26-Aug-23,Telugu,movie,Bro,"Sai Dharam Tej, Pawan Kalyan",1,2,1
26-Aug-23,Tamil,movie,Maaveeran,"Sivakarthikeyan, Mysskin",3,4,1
23-Aug-23,English,series,The Mentalist: Season 3,"Simon Baker, Robin Tunney",3,3,1
18-Aug-23,English,series,The Mentalist: Season 2,"Simon Baker, Robin Tunney",3,3,1
13-Aug-23,English,movie,Two Distant Strangers,"Carter James, Andrew Howard",3,4,1
10-Aug-23,Hindi,movie,Doctor G,"Ayushmann Khurana, Rakul Preet Singh",3,4,1
09-Aug-23,English,movie,What Men Want,Taraji P Henson,2,2,1
09-Aug-23,English,series,Designated Survivor S03E03,Kiefer Sutherland,3,3,1
31-Jul-23,English,series,Designated Survivor S03E02,Kiefer Sutherland,3,3,1
